dt,WS,WD,Month,hours,dayofyear,target
2018-01-08 02:00:00,7.786455949147537,63.57122611999508,1,2,8,1106.0576578776
2018-01-08 03:00:00,7.298143863677974,52.410903930664034,1,3,8,938.9849853515612
2018-01-08 04:00:00,6.398342768351234,47.62441317240391,1,4,8,649.4728800455713
2018-01-08 05:00:00,5.326838413874305,41.965591430664034,1,5,8,371.0884704589839
2018-01-08 06:00:00,6.6019639968872,57.02348899841305,1,6,8,755.1593068440739
2018-01-08 07:00:00,6.75905799865722,45.31772994995112,1,7,8,916.665191650388
2018-01-08 08:00:00,6.984019438425695,35.60454305013017,1,8,8,1002.0291137695294
2018-01-08 09:00:00,5.751240491867059,29.55078697204583,1,9,8,522.1098378499344
2018-01-08 10:00:00,5.709781090418493,22.8435455958048,1,10,8,460.360323588053
2018-01-08 11:00:00,6.273708820343013,19.338610013325965,1,11,8,604.7659301757811
2018-01-08 12:00:00,5.412481784820552,15.681558132171585,1,12,8,374.042327880859
2018-01-08 13:00:00,5.750544150670365,20.3115097681681,1,13,8,464.0502268473304
2018-01-08 14:00:00,6.866949160893754,27.98663679758701,1,14,8,832.1579386393227
2018-01-08 15:00:00,7.279944499333695,39.15609105428053,1,15,8,1001.9368082682262
2018-01-08 16:00:00,7.335338989893589,41.29731305440263,1,16,8,1019.6744791666644
2018-01-08 17:00:00,7.449923912684117,48.07323328653967,1,17,8,1073.8140055338524
2018-01-08 18:00:00,7.785912593205765,51.90369478861485,1,18,8,1233.9301757812466
2018-01-08 19:00:00,7.597869873046871,58.77757390340164,1,19,8,1140.6834615071584
2018-01-08 20:00:00,6.1969114939371694,68.04396184285477,1,20,8,620.7021636962883
2018-01-08 21:00:00,8.745517730712885,71.85670344034826,1,21,8,1616.6902770996069
2018-01-08 22:00:00,7.699756701787308,69.1819146474202,1,22,8,1117.30033365885
2018-01-08 23:00:00,8.463767528533928,66.5066528320312,1,23,8,1509.52231852213
2018-01-09 00:00:00,12.082363287607768,71.27032979329424,1,0,9,3205.3299967447897
2018-01-09 01:00:00,12.134653250376315,73.0833498636881,1,1,9,3174.914794921873
2018-01-09 02:00:00,11.76256338755285,72.14102172851558,1,2,9,2996.546346028645
2018-01-09 03:00:00,12.546270211537632,73.13914744059241,1,3,9,3263.6754964192683
2018-01-09 04:00:00,13.2905966440836,67.54426574707027,1,4,9,3538.275675455725
2018-01-09 05:00:00,11.700401624043732,66.68056996663407,1,5,9,2977.9306640624964
2018-01-09 06:00:00,12.612946510314885,70.17075729370113,1,6,9,3302.671305338538
2018-01-09 07:00:00,11.552990754445352,73.4048945109049,1,7,9,2901.1028238932267
2018-01-09 08:00:00,7.839517593383783,69.73803838094074,1,8,9,1347.484914143877
2018-01-09 09:00:00,7.9527165889739955,64.4982922871907,1,9,9,1371.0964762369767
2018-01-09 10:00:00,7.75813555717468,58.65029335021967,1,10,9,1277.768656412756
2018-01-09 11:00:00,7.092330535252883,40.40673764546707,1,11,9,1066.9872436523392
2018-01-09 12:00:00,7.988143046696979,31.18068536122633,1,12,9,1435.9805094401015
2018-01-09 13:00:00,8.812019030253088,36.3417383829752,1,13,9,1794.25834147135
2018-01-09 14:00:00,8.088415225346877,43.8220653533935,1,14,9,1461.3799845377582
2018-01-09 15:00:00,10.04633490244546,58.5135485331217,1,15,9,2276.2864786783834
2018-01-09 16:00:00,9.90816736221311,63.02547709147132,1,16,9,2200.1573282877584
2018-01-09 17:00:00,11.962475617726591,71.85500844319657,1,17,9,2941.0380452473914
2018-01-09 18:00:00,16.203506628672233,73.7318979899088,1,18,9,3604.232503255207
2018-01-09 19:00:00,15.427151679992631,75.45044581095375,1,19,9,3602.037963867185
2018-01-09 20:00:00,14.241081555684351,76.76723734537757,1,20,9,3574.6077067057267
2018-01-09 21:00:00,14.327706654866518,81.1783612569173,1,21,9,3504.77482096354
2018-01-09 22:00:00,12.890720049540166,80.8314654032389,1,22,9,3237.552124023435
2018-01-09 23:00:00,13.165249983469584,78.24769337972002,1,23,9,3372.677978515623
2018-01-10 00:00:00,12.793963154156945,77.45049420674638,1,0,10,0.0
2018-01-10 01:00:00,12.422676324844304,76.65329503377275,1,1,10,0.0
2018-01-10 02:00:00,12.051389495531664,75.85609586079912,1,2,10,0.0
2018-01-10 03:00:00,11.680102666219025,75.05889668782548,1,3,10,0.0
2018-01-10 04:00:00,11.308815836906383,74.26169751485185,1,4,10,0.0
2018-01-10 05:00:00,10.937529007593744,73.46449834187821,1,5,10,0.0
2018-01-10 06:00:00,10.566242178281104,72.66729916890458,1,6,10,0.0
2018-01-10 07:00:00,10.194955348968463,71.87009999593094,1,7,10,0.0
2018-01-10 08:00:00,9.823668519655822,71.07290082295731,1,8,10,0.0
2018-01-10 09:00:00,9.452381690343184,70.27570164998367,1,9,10,0.0
2018-01-10 10:00:00,9.081094861030545,69.47850247701004,1,10,10,0.0
2018-01-10 11:00:00,8.709808031717902,68.6813033040364,1,11,10,0.0
2018-01-10 12:00:00,8.338521202405262,67.88410413106277,1,12,10,0.0
2018-01-10 13:00:00,7.967234373092623,67.08690495808914,1,13,10,0.0
2018-01-10 14:00:00,7.595947543779983,66.2897057851155,1,14,10,0.0
2018-01-10 15:00:00,7.224660714467342,65.49250661214187,1,15,10,0.0
2018-01-10 16:00:00,6.853373885154702,64.69530743916823,1,16,10,0.0
2018-01-10 17:00:00,6.482087055842062,63.898108266194605,1,17,10,0.0
2018-01-10 18:00:00,6.110800226529422,63.10090909322097,1,18,10,0.0
2018-01-10 19:00:00,5.739513397216782,62.303709920247336,1,19,10,0.0
2018-01-10 20:00:00,5.368226567904141,61.5065107472737,1,20,10,0.0
2018-01-10 21:00:00,4.996939738591502,60.70931157430007,1,21,10,0.0
2018-01-10 22:00:00,4.625652909278861,59.91211240132643,1,22,10,0.0
2018-01-10 23:00:00,4.254366079966221,59.1149132283528,1,23,10,0.0
2018-01-11 00:00:00,3.883079250653582,58.31771405537916,1,0,11,53.19414520263668
2018-01-11 01:00:00,4.533119281133012,50.08912976582838,1,1,11,144.02975336710583
2018-01-11 02:00:00,5.916185617446893,59.063859939575146,1,2,11,425.27824910481735
2018-01-11 03:00:00,6.113565921783441,61.12279256184892,1,3,11,474.8688405354812
2018-01-11 04:00:00,6.389165798823036,62.01384290059402,1,4,11,559.6329243977862
2018-01-11 05:00:00,5.8939163684844935,65.41326395670568,1,5,11,486.3114674886063
2018-01-11 06:00:00,6.484532833099361,68.66265487670894,1,6,11,659.9139048258455
2018-01-11 07:00:00,7.131326039632157,70.84971555074051,1,7,11,851.3099263509113
2018-01-11 08:00:00,6.76201788584391,74.10789616902662,1,8,11,713.5355834960919
2018-01-11 09:00:00,6.802764813105262,73.92622248331698,1,9,11,686.2508544921872
2018-01-11 10:00:00,7.3768957455952915,74.98861058553057,1,10,11,821.8844197591143
2018-01-11 11:00:00,6.551291624704992,73.38805516560869,1,11,11,653.7515309651686
2018-01-11 12:00:00,8.622820854187005,77.46469879150386,1,12,11,1340.9408162434868
