dt,WS,TAP,WD,Month,H,target
2018-11-12 03:00:00,9.147847731908154,13455.7433044199,306.08769734700496,11,3,11881.5490722656
2018-11-12 04:00:00,9.094130277633658,13271.52438479025,291.53469848632767,11,4,11602.07397460937
2018-11-12 05:00:00,10.078168710072802,16981.34063138867,292.626556396484,11,5,14583.795898437467
2018-11-12 06:00:00,8.319632848103835,10554.302952474914,292.64582316080686,11,6,10265.85705566404
2018-11-12 07:00:00,6.628309647242226,5197.331352934126,284.9368845621738,11,7,5816.403686523424
2018-11-12 08:00:00,5.819123347600296,3420.220945678673,276.46060180664034,11,8,4083.4915161132776
2018-11-12 09:00:00,6.3332171440124485,4467.58817110794,267.2614135742182,11,9,5688.505065917961
2018-11-12 10:00:00,6.162096023559566,4103.989580390553,256.9660059610995,11,10,4860.871643066404
2018-11-12 11:00:00,5.048209508260086,2246.549069747371,251.655967712402,11,11,2561.510986328122
2018-11-12 22:00:00,4.717470129330947,1820.176882885624,68.47200965881342,11,22,1738.5916671752914
2018-11-12 23:00:00,6.090749581654862,3935.640297694573,57.69249025980625,11,23,3982.321472167967
2018-11-14 17:00:00,8.14626264572143,9753.97726519999,41.035028457641566,11,17,8751.589111328105
2018-11-14 18:00:00,7.327575047810867,7326.405308362653,40.375527064005496,11,18,7089.867126464825
2018-11-14 19:00:00,6.544529358545936,4955.850342501834,41.70025698343907,11,19,4608.989013671871
2018-11-14 20:00:00,6.890052636464432,5827.642746952891,48.92706871032709,11,20,5196.318969726561
2018-11-14 21:00:00,6.905427138010655,5862.005215732492,47.30124028523758,11,21,5288.846069335932
2018-11-14 22:00:00,6.426004012425735,4753.710890714722,44.61940066019688,11,22,4189.960052490231
2018-11-14 23:00:00,5.167603174845373,2293.147804724624,53.828065872192326,11,23,1905.3325195312468
2018-11-15 00:00:00,5.147139390309646,2273.384241179539,41.23014450073236,11,0,1853.239303588865
2018-11-15 01:00:00,5.515412092208855,2850.817258196651,52.894581476847286,11,1,2416.767181396482
2018-11-15 02:00:00,4.359236995379126,1242.093692841967,65.19778760274248,11,2,878.8099126815778
2018-11-15 04:00:00,3.823071877161656,817.3163718202377,60.2256387074788,11,4,623.6279869079574
2018-11-15 13:00:00,4.370696187019344,1294.2419995967257,182.7795162200925,11,13,966.8581161499012
2018-11-15 14:00:00,4.972084879875179,2136.6527083736983,240.59833735227565,11,14,2350.9183959960897
2018-11-15 15:00:00,6.020245711008703,3859.419682752019,29.832430044809925,11,15,3864.6774902343727
2018-11-15 16:00:00,8.266654411951682,10535.34064121808,22.39495690663649,11,16,10695.119140624987
2018-11-15 17:00:00,10.403786818186417,17516.42543806936,14.597339471181211,11,17,17666.897949218728
2018-11-15 18:00:00,10.201392968495664,16684.9360958122,19.05608987808222,11,18,16883.3439941406
2018-11-15 19:00:00,9.22228590647378,13733.64368276893,9.862293799718172,11,19,13494.27526855468
2018-11-15 20:00:00,9.195167779922471,13707.059735459588,68.56967862447088,11,20,14077.79626464841
2018-11-15 21:00:00,9.278913180033353,13938.42753076899,63.91035957634443,11,21,13758.81079101561
2018-11-15 22:00:00,10.32776451110836,17552.82253353116,12.943138281504266,11,22,17101.938964843728
2018-11-15 23:00:00,8.292241175969435,10313.200484775069,18.60810852050775,11,23,10625.17077636716
2018-11-16 00:00:00,9.469883600870736,14553.34279257952,13.168706019719403,11,0,14352.29064941404
2018-11-16 01:00:00,11.985855102539022,20298.299134180288,10.605619827906269,11,1,20496.53320312499
2018-11-16 02:00:00,12.104990959167456,19818.41764092894,128.5735877354938,11,2,19831.265136718728
2018-11-16 03:00:00,11.20962174733475,19750.90791668513,126.2106318473814,11,3,18989.85278320311
2018-11-16 04:00:00,10.022713184356656,16268.82863846554,124.31719547510134,11,4,15619.51708984374
2018-11-16 05:00:00,9.829317887624075,15818.603362899568,237.01283664132143,11,5,15698.46508789061
2018-11-16 06:00:00,9.66934506098428,15062.5588704668,118.41526516278584,11,6,15514.300048828109
2018-11-16 07:00:00,11.301970005035368,19896.11186832868,9.405156930287651,11,7,19163.37377929686
2018-11-16 08:00:00,9.73305177688597,15556.28424673371,64.42537542184193,11,8,15457.393066406228
2018-11-16 09:00:00,9.424834887186677,14399.613381653602,126.44889195760088,11,9,13675.31811523436
2018-11-16 10:00:00,9.153876304626436,13470.60809922536,179.08326641718523,11,10,13386.22607421873
2018-11-16 11:00:00,9.71286805470784,15491.563025572348,236.5144238670664,11,11,14973.8760986328
2018-11-16 12:00:00,9.9004046122233,16219.48129145419,9.055692116419436,11,12,15760.582519531228
2018-11-16 13:00:00,10.829868316650336,19057.55899628606,10.3681888580322,11,13,18915.22363281249
2018-11-16 14:00:00,11.637631575266484,20448.002807757548,8.847943305969219,11,14,20282.63598632811
2018-11-16 15:00:00,10.34068727493281,17868.32871757475,10.314925193786566,11,15,17285.369873046868
2018-11-16 16:00:00,8.91249561309814,12557.06623971566,11.83197291692092,11,16,13053.44409179686
2018-11-16 17:00:00,8.27411492665608,10221.37958660154,19.072136402130067,11,17,11164.6740722656
2018-11-16 18:00:00,7.444478591283157,7455.88268155215,22.6415748596191,11,18,8094.880859374991
2018-11-16 19:00:00,7.10554448763529,6595.359541495535,35.866230010986264,11,19,6484.519744873036
2018-11-16 20:00:00,6.108778556187942,4007.644682970032,38.98434193929032,11,20,4073.159362792967
2018-11-16 21:00:00,6.498954216639194,4846.826422445086,43.993460973103815,11,21,4750.413024902342
2018-11-16 22:00:00,6.58550834655761,5128.667595153664,48.06966781616206,11,22,5018.108032226553
2018-11-16 23:00:00,7.067523161570228,6320.243475770777,52.128765106201136,11,23,6445.641967773421
2018-11-17 00:00:00,8.408058961232497,10770.441072505171,54.97233200073237,11,0,10639.55395507809
2018-11-17 01:00:00,7.273532549540199,6939.052006312718,51.92892964680987,11,1,7142.210937499985
2018-11-17 02:00:00,8.915680726369219,12560.27246309804,55.42020034790037,11,2,12067.39099121091
2018-11-17 03:00:00,9.334553082784012,14133.856171549618,57.233538309733,11,3,13216.46423339841
2018-11-17 04:00:00,10.517964998880982,18415.00602075799,64.9298254648844,11,4,16879.41381835936
2018-11-17 05:00:00,10.66594998041785,18704.55383577472,67.13121541341143,11,5,17226.559082031228
2018-11-17 06:00:00,9.163152853647864,13495.96895377784,66.70142364501949,11,6,12551.64099121092
2018-11-17 07:00:00,9.842995484669997,16111.163561423678,67.69024785359694,11,7,14999.211914062487
2018-11-17 08:00:00,8.525445699691769,11115.573639108192,68.14830780029291,11,8,10619.98010253904
2018-11-17 09:00:00,7.330995559692378,7116.867041605171,71.7772369384765,11,9,7006.992492675758
2018-11-17 10:00:00,6.792955319086707,5680.318871569559,74.1509488423665,11,10,5533.633605957017
2018-11-17 11:00:00,6.587265570958452,5067.466818300046,73.74881744384761,11,11,4805.867736816404
2018-11-17 12:00:00,7.193716049194332,6663.033564631536,70.9376373291015,11,12,6236.872253417953
2018-11-17 13:00:00,7.333692550659173,7109.153425512519,67.99259821573888,11,13,6872.394958496079
2018-11-17 14:00:00,7.103677670160923,6496.881997772914,67.35622660319005,11,14,6203.932067871077
2018-11-17 15:00:00,8.564230759938555,11285.13698027442,74.4162495930989,11,15,10143.01599121091
2018-11-17 16:00:00,6.926924228668208,6158.130822725101,75.51718139648436,11,16,6243.607299804675
2018-11-17 17:00:00,9.675559202829964,15398.189025607033,78.22769419352208,11,17,14456.057861328109
2018-11-17 18:00:00,8.311067263285315,10357.26879553554,82.7627881368001,11,18,11893.504760742171
2018-11-17 19:00:00,6.709748506546013,5435.280449038317,83.89331054687494,11,19,6957.019226074202
2018-11-17 20:00:00,6.509076754252111,4896.952403539104,87.6252225240071,11,20,6466.070007324203
2018-11-17 21:00:00,5.9561053117116245,3775.422927124071,94.03758621215792,11,21,5040.533020019524
2018-11-17 22:00:00,6.620221853256221,5284.312535522258,109.03588358561132,11,22,5334.740539550774
2018-11-17 23:00:00,4.642870068550103,1661.221783590004,103.2091115315751,11,23,2295.87072753906
2018-11-18 00:00:00,5.607048511505121,4231.731521752646,86.85747400919581,11,0,3939.2440109252784
2018-11-18 01:00:00,5.95284779866536,4031.128893861499,80.22900899251299,11,1,4696.780120849593
2018-11-18 02:00:00,6.66874249776204,5578.9146900996575,76.05595270792638,11,2,5848.092407226546
2018-11-18 03:00:00,6.635542154312129,5378.546987834384,80.4343592325846,11,3,6502.089050292956
2018-11-18 04:00:00,8.456607023874914,11062.794549733148,77.70108795166011,11,4,10270.843749999967
2018-11-18 05:00:00,9.636028289794911,15255.73570866065,75.50974400838213,11,5,12643.84191894529
2018-11-18 06:00:00,9.446445624033606,14544.960435481287,78.26201121012365,11,6,12682.07177734373
2018-11-18 07:00:00,7.593871752421056,8147.711009955063,81.79130935668941,11,7,9557.076171874967
2018-11-18 08:00:00,5.912358760833733,3767.2507826040655,87.05935541788729,11,8,5481.400146484366
2018-11-18 09:00:00,4.577339529991145,1471.1132866431487,93.8147061665852,11,9,2158.372390747067
2018-11-18 10:00:00,4.164565722147618,941.656928258648,89.56021499633782,11,10,1559.511810302732
2018-11-18 11:00:00,6.190700848897296,4580.494900694029,78.96901957194007,11,11,4654.99633789062
2018-11-18 12:00:00,4.370182474454238,1241.3928446206432,99.0863011678058,11,12,1568.7101135253874
2018-11-18 13:00:00,5.458618640899656,2771.506709341028,130.2162831624345,11,13,2487.9055786132803
2018-11-18 14:00:00,7.201130151748653,6681.443162848796,159.703666687011,11,14,6492.047302246078
2018-11-18 15:00:00,7.050635735193883,6283.638349837128,169.40968322753866,11,15,6096.136291503888
2018-11-18 16:00:00,4.936595360438027,1966.120672523074,175.2684351603185,11,16,1514.0545043945278
2018-11-18 17:00:00,4.295091390609737,1128.148789520402,142.546930948893,11,17,732.005069732665
2018-11-18 18:00:00,6.404074549674983,5457.81200706158,136.818351745605,11,18,4787.136604309073
2018-11-18 19:00:00,9.756165027618382,15221.31812290315,165.74818166096952,11,19,14419.74609374998
2018-11-18 20:00:00,12.541486581166533,21401.864699231388,172.15804799397753,11,20,21340.63256835936
2018-11-18 21:00:00,15.02567164103185,21600.0,183.17825317382767,11,21,20965.10913085936
2018-11-18 22:00:00,16.241540114084817,21600.0,188.39668273925733,11,22,20772.48437499998
2018-11-18 23:00:00,16.14608033498125,21600.0,186.29624938964807,11,23,20769.51391601561
2018-11-19 00:00:00,17.432043393452915,21600.0,185.26161702473897,11,0,20767.78906249999
2018-11-19 01:00:00,19.0978638331095,21600.0,185.9103825887038,11,1,20767.44702148435
2018-11-19 02:00:00,18.87917995452878,21600.0,182.4714152018225,11,2,20769.26806640624
2018-11-19 03:00:00,18.8470929463704,21600.0,178.85101826985633,11,3,20777.64575195311
2018-11-19 04:00:00,17.253879865010518,21600.0,179.37983194986933,11,4,20780.74194335936
2018-11-19 05:00:00,18.2751811345418,21600.0,178.66615041096952,11,5,20775.25
2018-11-19 06:00:00,18.00162792205805,21600.0,177.54061635335233,11,6,20770.90893554685
2018-11-19 07:00:00,17.161253293355266,21600.0,179.3963801066075,11,7,20774.01220703123
2018-11-19 08:00:00,17.15813668568925,21600.0,183.0178833007808,11,8,20775.760009765618
