dt,WS,WD,Month,H,dayofyear,target
2018-06-13 20:00:00,2.6053447922070787,167.88354619344034,6,20,164,0.0
2018-06-13 21:00:00,2.2957419753074615,168.3234024047845,6,21,164,0.0
2018-06-13 22:00:00,0.995495706796644,208.66660054524684,6,22,164,0.0
2018-06-13 23:00:00,0.663052270809809,225.8838310241695,6,23,164,0.0
2018-06-14 00:00:00,1.3254221479097967,272.269482930501,6,0,165,0.0
2018-06-14 01:00:00,1.5011584957440636,247.481348673502,6,1,165,0.0
2018-06-14 02:00:00,1.282698671023047,246.42077128092419,6,2,165,0.0
2018-06-14 03:00:00,0.8618113895257286,117.26336065928125,6,3,165,0.0
2018-06-14 04:00:00,1.2534386614958424,137.72803560892729,6,4,165,0.0
2018-06-14 05:00:00,1.7001413305600417,119.565235773722,6,5,165,0.0
2018-06-14 06:00:00,1.066439797480899,151.0211140314734,6,6,165,0.0
2018-06-14 07:00:00,1.1661101082960725,218.07269795735633,6,7,165,0.0
2018-06-14 08:00:00,1.229905764261878,124.70598570505736,6,8,165,0.0
2018-06-14 09:00:00,1.5901349981625852,211.2603842417395,6,9,165,0.0
2018-06-14 10:00:00,1.3795373439788783,262.92414855956986,6,10,165,0.0
2018-06-14 11:00:00,1.3780114849408418,259.4030558268227,6,11,165,0.0
2018-06-14 12:00:00,1.9604888558387719,258.2624155680333,6,12,165,0.0
2018-06-14 13:00:00,1.2646990815798411,185.41916338602664,6,13,165,0.0
2018-06-14 14:00:00,1.928352673848465,238.39155324300086,6,14,165,0.0
2018-06-14 15:00:00,2.582855502764378,270.561101277669,6,15,165,0.0
2018-06-14 16:00:00,2.3970700303713417,294.74456787109335,6,16,165,11.844100028276435
2018-06-14 17:00:00,3.065896471341445,259.13076782226534,6,17,165,9.19903818766275
2018-06-14 18:00:00,3.875289122263587,236.37393442789684,6,18,165,107.4878244797386
2018-06-14 19:00:00,5.077527681986487,174.22746531168582,6,19,165,323.67357963323565
2018-06-14 20:00:00,7.398534456888832,183.01539866129534,6,20,165,999.8056182861309
2018-06-14 21:00:00,8.404054005940749,173.79255167643183,6,21,165,1373.238667805985
2018-06-14 22:00:00,7.939227183659867,176.01668294270783,6,22,165,1239.6772562662713
2018-06-14 23:00:00,7.692963202794387,190.13389841715434,6,23,165,1093.252360026037
2018-06-15 00:00:00,8.960806210835772,199.130482991536,6,0,166,1673.35532633463
2018-06-15 01:00:00,8.2158084710439,200.61843109130817,6,1,166,1332.0371704101517
2018-06-15 02:00:00,7.761545578638709,197.49333190917915,6,2,166,1141.7789916992162
2018-06-15 03:00:00,7.535530328750607,199.3991851806635,6,3,166,1044.5021870930964
2018-06-15 04:00:00,7.278838316599522,198.88838195800733,6,4,166,918.6628519693994
2018-06-15 05:00:00,7.442244450251256,195.42426554361933,6,5,166,938.3406575520816
2018-06-15 06:00:00,7.321651299794511,183.02766418457,6,6,166,983.1193135579427
2018-06-15 07:00:00,6.630712032318111,183.22996775309198,6,7,166,721.0797932942705
2018-06-15 08:00:00,6.6537386576334585,186.88786824544218,6,8,166,752.072550455729
2018-06-15 09:00:00,5.835732380549108,191.95699818928998,6,9,166,494.6004435221352
2018-06-15 10:00:00,3.1684926350911398,239.58904774983682,6,10,166,82.24822672208137
2018-06-15 11:00:00,1.76259746154149,318.78288269042935,6,11,166,0.0
2018-06-15 12:00:00,1.6540128389994253,221.92688814798967,6,12,166,0.0
2018-06-15 13:00:00,3.929058392842603,74.25173759460444,6,13,166,69.9688968658446
2018-06-15 14:00:00,10.208672602971358,139.09933471679633,6,14,166,2199.8426920572897
2018-06-15 15:00:00,3.184248646100357,195.04618326822867,6,15,166,76.73958162466671
2018-06-15 16:00:00,1.7140413820743505,157.3802865346271,6,16,166,0.0
2018-06-15 17:00:00,3.713688135147088,65.47900899251296,6,17,166,44.784423358738366
2018-06-15 18:00:00,1.9948939482370969,86.27876154581695,6,18,166,0.0
2018-06-15 19:00:00,4.01137550671895,182.92945098876885,6,19,166,139.740732828776
2018-06-15 20:00:00,13.332556247711153,172.1673482259108,6,20,166,2767.4887084960915
2018-06-15 21:00:00,8.023457447687765,147.93251546223917,6,21,166,1537.747238159178
2018-06-15 22:00:00,7.972303787867223,151.8268305460605,6,22,166,1338.8413391113254
2018-06-15 23:00:00,10.633904457092253,136.51198323567667,6,23,166,2407.9643147786433
2018-06-16 00:00:00,9.917819341023733,145.43498484293585,6,0,167,2162.594034830728
2018-06-16 01:00:00,7.650083780288692,173.81255086262968,6,1,167,1190.642740885414
2018-06-16 02:00:00,7.452753623326617,171.49864959716732,6,2,167,1044.4911346435526
2018-06-16 03:00:00,3.2030497392018584,123.60191980997683,6,3,167,46.197482873995966
2018-06-16 04:00:00,2.4046052893002767,74.24595212936393,6,4,167,3.2633482615152833
2018-06-16 05:00:00,4.136320829391473,35.56029287974035,6,5,167,113.99358320236179
2018-06-16 06:00:00,6.8602921962738,63.96314748128251,6,6,167,832.7934519449855
2018-06-16 07:00:00,7.302530288696282,73.51232274373369,6,7,167,945.7747802734357
2018-06-16 08:00:00,5.212010502815242,75.84088134765621,6,8,167,395.22101147969516
2018-06-16 09:00:00,5.778161684672032,69.03043746948237,6,9,167,503.19963582356746
2018-06-16 10:00:00,5.377533753712968,70.27887090047197,6,10,167,440.2016296386715
2018-06-16 11:00:00,5.301708141962682,46.545679728190066,6,11,167,338.339795430501
2018-06-16 12:00:00,5.012952725092567,52.9828599294026,6,12,167,287.1398607889805
2018-06-16 13:00:00,5.58644247055053,57.95734914143875,6,13,167,388.0193316141758
2018-06-16 14:00:00,5.453075091044103,82.06266530354802,6,14,167,468.01290130615143
2018-06-16 15:00:00,14.231769561767521,93.0666412353512,6,15,167,2165.1206054687477
2018-06-16 16:00:00,15.376518408457384,140.70896911621068,6,16,167,3168.197509765623
2018-06-16 17:00:00,9.870536406834864,138.70041656494098,6,17,167,2057.221323649085
2018-06-16 18:00:00,3.43285598357518,249.15908964474943,6,18,167,53.40468637148527
2018-06-16 19:00:00,3.0646853049596086,184.81473477681445,6,19,167,10.28951865434645
2018-06-16 20:00:00,1.5950673719247124,118.1174723307288,6,20,167,1.0497036774953201
2018-06-16 21:00:00,1.9428157210349994,221.7032349904375,6,21,167,0.0
2018-06-16 22:00:00,1.54996260007222,276.1519190470373,6,22,167,0.0
2018-06-16 23:00:00,2.7018091678619314,288.2340850830075,6,23,167,0.0
2018-06-17 00:00:00,3.551081339518225,276.34625498453715,6,0,168,55.15647046267975
2018-06-17 01:00:00,3.352025111516312,257.0382003784177,6,1,168,28.700030465920644
2018-06-17 02:00:00,4.4155747095743765,266.5244725545245,6,2,168,143.75819778442357
2018-06-17 03:00:00,3.9086666107177663,237.40433247884064,6,3,168,93.44678179422984
2018-06-17 04:00:00,4.268656969070432,252.78393554687466,6,4,168,149.8742901484167
2018-06-17 05:00:00,3.2448878288269003,263.94256846109965,6,5,168,37.43881972630816
2018-06-17 06:00:00,4.7260019381840985,284.85431925455686,6,6,168,247.7791706720984
2018-06-17 07:00:00,2.142955998579655,330.33671569824185,6,7,168,0.0
2018-06-17 08:00:00,3.487326701482132,178.65108414491007,6,8,168,58.04755655924472
